COD_PROVINCIA;NOM_PROVINCIA;COD_CIRCUNSCRIPCION;NOM_CIRCUNSCRIPCION;COD_CANTON;NOM_CANTON;COD_PARROQUIA;NOM_PARROQUIA;EST_PARROQUIA;COD_ZONA;NOM_ZONA;COD_RECINTO;NOM_RECINTO
1;AZUAY;0;;556;CAMILO PONCE ENRIQUEZ;6875;CAMILO PONCE ENRIQUEZ;U;1;CAMILO PONCE ENRIQUEZ;2285;ESCUELA MIGUEL HEREDIA CRESPO
1;AZUAY;0;;556;CAMILO PONCE ENRIQUEZ;6875;CAMILO PONCE ENRIQUEZ;U;1;CAMILO PONCE ENRIQUEZ;5849;UNIDAD EDUCATIVA PARTICULAR DIVINO NIÑO
1;AZUAY;0;;556;CAMILO PONCE ENRIQUEZ;6875;CAMILO PONCE ENRIQUEZ;U;1;CAMILO PONCE ENRIQUEZ;5854;ESCUELA DE EDUCACION BASICA MERCEDES CRESPO DE VEGA
1;AZUAY;0;;556;CAMILO PONCE ENRIQUEZ;6875;CAMILO PONCE ENRIQUEZ;U;2;ZHUMIRAL;1249;UNIDAD EDUCATIVA VÍCTOR GERARDO AGUILAR/ESCUELA VICTOR GERARDO AGUILAR
1;AZUAY;0;;556;CAMILO PONCE ENRIQUEZ;6875;CAMILO PONCE ENRIQUEZ;U;3;SAN ALFONSO;1329;UNIDAD EDUCATIVA LIBERTADOR BOLIVAR
1;AZUAY;0;;556;CAMILO PONCE ENRIQUEZ;6875;CAMILO PONCE ENRIQUEZ;U;4;SANTA MARTHA;1309;ESCUELA DE EDUCACIÓN BÁSICA 16 DE ENERO
1;AZUAY;0;;556;CAMILO PONCE ENRIQUEZ;6875;CAMILO PONCE ENRIQUEZ;U;5;BELLA RICA;5021;ESCUELA DE EDUCACION BASICA EL DIAMANTE
1;AZUAY;0;;556;CAMILO PONCE ENRIQUEZ;6875;CAMILO PONCE ENRIQUEZ;U;6;SAN GERARDO;5855;UNIDAD EDUCATIVA 5 DE JUNIO
1;AZUAY;0;;780;OÑA;1540;SUSUDEL;R;0;;501;UNIDAD EDUCATIVA SUSUDEL/COLEGIO NACIONAL SUSUDEL
1;AZUAY;0;;780;OÑA;6360;OÑA;U;1;OÑA;298;UNIDAD EDUCATIVA OÑA/ COLEGIO NACIONAL OÑA
1;AZUAY;0;;780;OÑA;6360;OÑA;U;2;MORAS LOMA;2768;ESCUELA DE EDUCACIÓN BÁSICA EMILIO AREVALO
1;AZUAY;0;;855;SAN FERNANDO;4560;CHUMBLIN;R;0;;1965;ESCUELA DE EDUCACION BASICA VICTOR ALVAREZ TORRES
1;AZUAY;0;;855;SAN FERNANDO;6565;SAN FERNANDO;U;0;;1053;ESCUELA DE EDUCACION BASICA JUAN GIRON SANCHEZ
1;AZUAY;0;;885;NABON;575;COCHAPATA;R;1;COCHAPATA;2155;UNIDAD EDUCATIVA LEON VIVAR/ESCUELA DE EDUCACION BASICA ANDRES BELTRAN
1;AZUAY;0;;885;NABON;575;COCHAPATA;R;2;ÑAMARIN;2174;ESCUELA DE EDUCACION BASICA MANUEL ULPIANO ARIZAGA
1;AZUAY;0;;885;NABON;1175;EL PROGRESO;R;0;;2311;UNIDAD EDUCATIVA EL PROGRESO\ENRIQUE ARIZAGA TORAL
1;AZUAY;0;;885;NABON;2550;NIEVES;R;1;LAS NIEVES;2475;ESCUELA DE EDUCACION BASICA JUAN BAUTISTA DÁVILA
1;AZUAY;0;;885;NABON;2550;NIEVES;R;2;LA PAZ;2300;UNIDAD EDUCATIVA LA PAZ
1;AZUAY;0;;885;NABON;6595;NABON;U;1;NABON;411;UNIDAD EDUCATIVA NABON/ ESCUELA DE EDUCACIÓN BÁSICA AGUSTÍN J PERALTA
1;AZUAY;0;;885;NABON;6595;NABON;U;1;NABON;5997;UNIDAD EDUCATIVA NABON
1;AZUAY;0;;885;NABON;6595;NABON;U;2;ZHIÑA;2111;UNIDAD EDUCATIVA FRANCISCO CHICO PACHECO
1;AZUAY;0;;885;NABON;6595;NABON;U;3;RAÑAS;2071;UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGÜE/ESCUELA DE EDUCACION INTERCULTURAL BILINGÜE BASICA CESAR AGUSTIN MOROCHO
1;AZUAY;0;;885;NABON;6595;NABON;U;4;CHUNASANA;2314;UNIDAD EDUCATIVA BALTAZAR AGUIRRE
1;AZUAY;0;;915;CHORDELEG;1535;LA UNION;R;0;;2483;ESCUELA DE EDUCACIÓN BÁSICA AURELIO BAYAS MARTINEZ
1;AZUAY;0;;915;CHORDELEG;1575;SAN MARTIN DE PUZHIO;R;0;;3380;ESCUELA DE EDUCACIÓN GENERAL BÁSICA RAFAEL ROMERO Y CORDERO
1;AZUAY;0;;915;CHORDELEG;1585;LUIS GALARZA O. (DELEGSOL);R;0;;3475;ESCUELA DE EDUCACIÓN BÁSICA JOAQUIN MARTINEZ
1;AZUAY;0;;915;CHORDELEG;2950;PRINCIPAL;R;0;;2943;UNIDAD EDUCATIVA FASAYÑAN
1;AZUAY;0;;915;CHORDELEG;6435;CHORDELEG;U;0;;446;UNIDAD EDUCATIVA CHORDELEG/ COLEGIO NACIONAL CHORDELEG
1;AZUAY;0;;915;CHORDELEG;6435;CHORDELEG;U;0;;441;ESCUELA DE EDUCACION BASICA FEDERICO GONZALEZ SUAREZ
1;AZUAY;0;;915;CHORDELEG;6435;CHORDELEG;U;0;;5873;ESCUELA DE EDUCACION BASICA SOR MARIA DE SANTO TOMAS ALVARADO
1;AZUAY;0;;955;SEVILLA DE ORO;85;AMALUZA;R;1;AMALUZA;2380;UNIDAD EDUCATIVA JUVENTINO VELEZ\ESCUELA JUVENTINO VELEZ
1;AZUAY;0;;955;SEVILLA DE ORO;85;AMALUZA;R;2;SANTA RITA;2330;CASA COMUNAL DE SANTA RITA/ESCUELA RAFAEL LARRIVA CUESTA
1;AZUAY;0;;955;SEVILLA DE ORO;2725;PALMAS;R;1;PALMAS;853;UNIDAD EDUCATIVA LAS PALMAS/COLEGIO NACIONAL LAS PALMAS
1;AZUAY;0;;955;SEVILLA DE ORO;2725;PALMAS;R;2;JURUPILLOS;2767;ESCUELA DOLORES GOMEZ LEÓN
1;AZUAY;0;;955;SEVILLA DE ORO;2725;PALMAS;R;3;SANTA ROSA;2769;CASA COMUNAL DE SANTA ROSA
1;AZUAY;0;;955;SEVILLA DE ORO;6480;SEVILLA DE ORO;U;1;SEVILLA DE ORO;829;UNIDAD EDUCATIVA SEVILLA DE ORO/COLEGIO ALFONSO MORENO MORA
1;AZUAY;0;;955;SEVILLA DE ORO;6480;SEVILLA DE ORO;U;2;CAIGUAS;1325;CASA COMUNAL DE CAIGUAS/ESCUELA MAX PALACIOS
1;AZUAY;0;;955;SEVILLA DE ORO;6480;SEVILLA DE ORO;U;3;CHIMUL;2078;ESCUELA DE EDUCACIÓN BASICA PADRE ALBINO DEL CURTO
1;AZUAY;0;;960;EL PAN;1650;SAN VICENTE;R;1;SAN VICENTE;2072;ESCUELA DE EDUACION BASICA JOSE DOMINGO LAMAR
1;AZUAY;0;;960;EL PAN;1650;SAN VICENTE;R;2;LA MERCED;2076;ESCUELA DE EDUCACION BASICA ALFONSO MALO RODRIGUEZ
1;AZUAY;0;;960;EL PAN;1650;SAN VICENTE;R;3;SANTA TERESITA;2077;CASA COMUNAL
1;AZUAY;0;;960;EL PAN;6485;EL PAN;U;0;;997;UNIDAD EDUCATIVA EL PAN/COLEGIO NACIONAL TECNICO EL PAN
1;AZUAY;0;;990;GUACHAPALA;6615;GUACHAPALA;U;1;GUACHAPALA;986;UNIDAD EDUCATIVA GUACHAPALA/ COLEGIO TECNICO GUACHAPALA
1;AZUAY;0;;990;GUACHAPALA;6615;GUACHAPALA;U;2;SACRE;2186;CASA COMUNAL DE SACRE
2;BOLIVAR;0;;165;GUARANDA;795;SAN LUIS DE PAMBIL;R;1;SAN LUIS DE PAMBIL;1646;UNIDAD EDUCATIVA DIEGO DE ALMAGRO
2;BOLIVAR;0;;165;GUARANDA;795;SAN LUIS DE PAMBIL;R;2;SAN FERNANDO;3289;UNIDAD EDUCATIVA SIMON BOLIVAR
